,gnss_true_x,gnss_true_y,gnss_x,gnss_y,gnss_labels
559,5590,5590,5578.550131,5576.273931,0
560,5600,5600,5589.413939,5585.528505,0
561,5610,5610,5600.62723,5594.371009,0
562,5620,5620,5612.205843,5604.009866,0
563,5630,5630,5622.076658,5614.70327,0
564,5640,5640,5633.536331,5623.205554,0
565,5650,5650,5643.193446,5633.771359,0
566,5660,5660,5655.411919,5643.155624,0
567,5670,5670,5665.165905,5653.198552,0
568,5680,5680,5676.105321,5663.569168,0
569,5690,5690,5686.611734,5674.58886,0
570,5700,5700,5697.00171,5683.802076,0
571,5710,5710,5707.092207,5692.525179,0
572,5720,5720,5717.513776,5703.169415,0
573,5730,5730,5729.304962,5713.840325,0
574,5740,5740,5739.778294,5722.359421,0
575,5750,5750,5750.76831,5733.282197,0
576,5760,5760,5760.943421,5743.199377,0
577,5770,5770,5770.63974,5754.786178,0
578,5780,5780,5780.594219,5765.120089,0
579,5790,5790,5790.743931,5775.277987,0
580,5800,5800,5799.782223,5786.507035,0
581,5810,5810,5809.401419,5795.723295,0
582,5820,5820,5819.617319,5804.762785,0
583,5830,5830,5829.978383,5814.968406,0
584,5840,5840,5839.140295,5823.761129,0
585,5850,5850,5847.842738,5832.654351,0
586,5860,5860,5857.989592,5842.612205,0
587,5870,5870,5868.529944,5853.459226,0
588,5880,5880,5877.866641,5863.676779,0
589,5890,5890,5887.194991,5874.436036,0
590,5900,5900,5896.697022,5884.029897,0
591,5910,5910,5905.149392,5893.233052,0
592,5920,5920,5914.281476,5902.734715,0
593,5930,5930,5925.620443,5912.702823,0
594,5940,5940,5934.814005,5923.065878,0
595,5950,5950,5943.91187,5933.272483,0
596,5960,5960,5952.29123,5943.365896,0
597,5970,5970,5962.748116,5955.46384,0
598,5980,5980,5972.121554,5964.613878,0
599,5990,5990,5981.620261,5974.383047,0
600,6000,6000,5991.349512,5982.796819,0
601,6010,6010,6002.247492,5992.150091,0
602,6020,6020,6013.826606,6002.053581,0
603,6030,6030,6022.631302,6012.79533,0
604,6040,6040,6032.758236,6021.284833,0
605,6050,6050,6041.630463,6030.352706,0
606,6060,6060,6052.928396,6040.241954,0
607,6070,6070,6063.069957,6050.415771,0
608,6080,6080,6073.371126,6060.288399,0
609,6090,6090,6081.842904,6071.312293,0
610,6100,6100,6091.268776,6080.569495,0
611,6110,6110,6101.559565,6091.789146,0
612,6120,6120,6111.088877,6100.383785,0
613,6130,6130,6121.617517,6110.087773,0
614,6140,6140,6132.372367,6120.770314,0
615,6150,6150,6142.361192,6130.208768,0
616,6160,6160,6150.822172,6139.883014,0
617,6170,6170,6162.219726,6149.078998,0
618,6180,6180,6170.683354,6159.318386,0
619,6190,6190,6181.260763,6169.283721,0
620,6200,6200,6191.704578,6179.216445,0
621,6210,6210,6200.765768,6188.415801,0
622,6220,6220,6211.111652,6198.981166,0
623,6230,6230,6222.945664,6209.285275,0
624,6240,6240,6233.322685,6219.599171,0
625,6250,6250,6240.999406,6230.860057,0
626,6260,6260,6250.760382,6241.657148,0
627,6270,6270,6260.117093,6251.691356,0
628,6280,6280,6270.772773,6261.088733,0
629,6290,6290,6280.144686,6272.2727,0
630,6300,6300,6291.136406,6283.115394,0
631,6310,6310,6300.715851,6292.637926,0
632,6320,6320,6309.711087,6302.529768,0
633,6330,6330,6319.394275,6312.21217,0
634,6340,6340,6329.175976,6323.532846,0
635,6350,6350,6339.644028,6334.727468,0
636,6360,6360,6350.070603,6344.645178,0
637,6370,6370,6358.126941,6354.531406,0
638,6380,6380,6369.128898,6363.845391,0
639,6390,6390,6378.494459,6374.808411,0
640,6400,6400,6389.115186,6384.18993,0
641,6410,6410,6399.655319,6394.247363,0
642,6420,6420,6409.96864,6404.097767,0
643,6430,6430,6420.392551,6413.934025,0
644,6440,6440,6430.791018,6423.391789,0
645,6450,6450,6439.776521,6433.908379,0
646,6460,6460,6451.221882,6443.02999,0
647,6470,6470,6459.631351,6453.578911,0
648,6480,6480,6469.80512,6463.845358,0
649,6490,6490,6479.477422,6473.72359,0
650,6500,6500,6491.056975,6483.987155,0
651,6510,6510,6498.914235,6492.947788,0
652,6520,6520,6509.056553,6503.164984,0
653,6530,6530,6518.442407,6513.660117,0
654,6540,6540,6528.955093,6523.770847,0
655,6550,6550,6540.206436,6533.871841,0
656,6560,6560,6550.715011,6544.916078,0
657,6570,6570,6560.873274,6554.455848,0
658,6580,6580,6571.892474,6564.124925,0
659,6590,6590,6583.322541,6572.983319,0
660,6600,6600,6594.394284,6581.766299,0
661,6610,6610,6605.52209,6592.710713,0
662,6620,6620,6615.050825,6603.359877,0
663,6630,6630,6624.218406,6613.044224,0
664,6640,6640,6634.54765,6624.142979,0
665,6650,6650,6643.23138,6634.466896,0
666,6660,6660,6654.198774,6644.303411,0
667,6670,6670,6664.243563,6654.98389,0
668,6680,6680,6674.833473,6665.282693,0
669,6690,6690,6685.414793,6674.733727,0
670,6700,6700,6695.439402,6684.245351,0
671,6710,6710,6704.831605,6695.493672,0
672,6720,6720,6713.63992,6705.573279,0
673,6730,6730,6723.46781,6715.095437,0
674,6740,6740,6733.711591,6724.822025,0
675,6750,6750,6745.109689,6735.442716,0
676,6760,6760,6753.601544,6745.077489,0
677,6770,6770,6764.865355,6756.537043,0
678,6780,6780,6775.492605,6766.33836,0
679,6790,6790,6783.993978,6776.720992,0
680,6800,6800,6793.545144,6786.403217,0
681,6810,6810,6803.426387,6796.025008,0
682,6820,6820,6812.746364,6805.733927,0
683,6830,6830,6822.441758,6814.20694,0
684,6840,6840,6832.184524,6823.792921,0
685,6850,6850,6843.697066,6832.08339,0
686,6860,6860,6853.684729,6842.715631,0
687,6870,6870,6863.588004,6852.77378,0
688,6880,6880,6874.096231,6863.598228,0
689,6890,6890,6883.375486,6873.305549,0
690,6900,6900,6893.750515,6884.716686,0
691,6910,6910,6903.445296,6893.580734,0
692,6920,6920,6912.828177,6903.682264,0
693,6930,6930,6922.537157,6913.075898,0
694,6940,6940,6931.439974,6922.964863,0
695,6950,6950,6940.942577,6933.357012,0
696,6960,6960,6952.180392,6943.153233,0
697,6970,6970,6961.955711,6953.087453,0
698,6980,6980,6972.095625,6961.954121,0
699,6990,6990,6983.177128,6973.070648,0
700,7000,7000,6994.258804,6983.198541,0
701,7010,7010,7003.954201,6992.525357,0
702,7020,7020,7013.629832,7003.12588,0
703,7030,7030,7022.523919,7014.207137,0
704,7040,7040,7033.824085,7024.79445,0
705,7050,7050,7043.932437,7034.46825,0
706,7060,7060,7054.203374,7045.036564,0
707,7070,7070,7062.486807,7054.287399,0
708,7080,7080,7072.583211,7063.352023,0
709,7090,7090,7082.973179,7073.621802,0
710,7100,7100,7092.549459,7083.24466,0
711,7110,7110,7103.36597,7093.932015,0
